Serial number,Time (UTC),Datum ID,Session ID,Data format version,Firmware version,App version,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA350-0238,2022-04-12T11:53:01Z,26260,12,1,1.1,1.4,0,2022-04-12,11:53:01 AM,0,0,0,0,60,64,100,-25742,-92,-1889,3,100,100.08,55.19,44.88,36.68,17.7,8.28,76148,37,DUALSPOT-UV-BLUE-GREEN-RED-IR,770277,647228,926638,18.768272,15.144253,0.008202,798407,822902,839280,14.748755,12.00489,0.014296,796888,836483,853310,12.826921,10.385703,0.013712,806677,836240,902478,10.484196,8.405749,0.015602,687809,788796,946576,7.632381,5.974413,-0.006207,6430,6656,7600,6523,6847,8266,6402,6662,7768,6614,6870,7907,6781,6714,6474,NA
MA350-0238,2022-04-12T11:54:01Z,26261,12,1,1.1,1.4,0,2022-04-12,11:54:01 AM,0,0,0,0,60,64,100,-25740,-111,-1925,3,100,99.85,54.69,45.16,36.68,17.7,8.28,76144,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,769112,646354,926092,18.860806,15.225632,0.013374,797426,821975,838877,14.822366,12.069216,0.016106,795149,834770,852048,12.893103,10.442728,0.014434,804860,834461,900997,10.538705,8.451701,0.009048,686536,787387,945195,7.672188,6.008438,0.018167,4968,5292,6645,4988,5279,6553,5023,5241,6171,4999,5104,5526,5083,5262,5907,NA
MA350-0238,2022-04-12T11:55:01Z,26262,12,1,1.1,1.4,0,2022-04-12,11:55:01 AM,0,0,0,0,60,64,100,-25744,-123,-1892,3,100,99.79,55.23,44.56,36.69,17.7,8.26,76144,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,769856,647089,928091,18.97821,15.324623,0.01,792000,816506,834020,14.920778,12.150372,0.007138,797150,837006,854953,12.979818,10.512764,0.000432,805877,835610,902734,10.611135,8.509418,-0.006242,687486,788548,946994,7.725307,6.049541,-0.030075,6242,6524,7705,6604,6750,7392,6517,6524,6554,6578,6497,6170,6717,6443,5451,NA
MA350-0238,2022-04-12T11:56:01Z,26263,12,1,1.1,1.4,0,2022-04-12,11:56:01 AM,0,0,0,0,60,64,100,-25755,-107,-1900,3,100,99.68,54.95,44.73,36.69,17.6,8.19,76140,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,770333,647584,929671,19.086342,15.417225,0.011143,791699,816342,834426,15.008358,12.224963,0.013286,797795,837763,856289,13.05686,10.57945,0.019144,805890,835729,903386,10.675947,8.565454,0.022373,687634,788836,947697,7.77478,6.090708,0.011908,5779,6079,7340,5907,6180,7379,5820,6188,7759,5916,6284,7773,6288,6427,6930,NA
MA350-0238,2022-04-12T11:57:01Z,26264,12,1,1.1,1.4,0,2022-04-12,11:57:01 AM,0,0,0,0,60,64,100,-25744,-70,-1900,3,100,100.22,55.23,44.99,36.69,17.5,8.1,76136,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,769349,646868,929496,19.197834,15.510632,0.006711,790959,815655,834398,15.099989,12.303026,0.013118,797511,837566,856654,13.138213,10.648618,0.014255,807094,837041,905301,10.742863,8.620877,0.007252,683069,783664,941865,7.824867,6.129955,-0.027301,5928,6096,6805,6149,6431,7668,6114,6381,7523,6077,6179,6591,6334,6092,5219,NA
MA350-0238,2022-04-12T11:58:01Z,26265,12,1,1.1,1.4,0,2022-04-12,11:58:01 AM,0,0,0,0,60,64,100,-25764,-125,-1896,3,100,100.35,55.32,45.03,36.69,17.4,7.99,76136,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,768766,646488,929600,19.281468,15.58131,0.008605,790527,815294,834503,15.166255,12.359587,0.013701,796526,836625,856086,13.195285,10.696229,0.008786,805796,835765,904288,10.790555,8.661176,0.014968,682313,782847,941150,7.859176,6.158069,0.00379,4439,4609,5322,4440,4655,5604,4282,4388,4844,4324,4489,5157,4331,4360,4464,NA
MA350-0238,2022-04-12T11:59:01Z,26266,12,1,1.1,1.4,0,2022-04-12,11:59:01 AM,0,0,0,0,60,64,100,-25729,-100,-1892,3,100,100.08,54.91,45.17,36.69,17.3,7.92,76128,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,768414,646263,930095,19.384128,15.669651,0.01002,791201,816088,835878,15.248686,12.430478,0.012974,795181,835274,855275,13.26907,10.759425,0.013504,806014,836067,905059,10.851602,8.712458,0.008994,681968,782518,941115,7.906227,6.19528,-0.027358,5490,5744,6813,5564,5817,6936,5577,5808,6795,5576,5695,6180,5984,5754,4920,NA
MA350-0238,2022-04-12T12:00:01Z,26267,12,1,1.1,1.4,0,2022-04-12,12:00:01 PM,0,0,0,0,60,64,100,-25757,-121,-1896,3,100,99.75,55.16,44.59,36.69,17.1,7.79,76124,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,768297,646264,930819,19.474462,15.746319,0.010603,790584,815555,835840,15.320168,12.490483,0.011221,795460,835658,856095,13.3304,10.810899,0.012604,805571,835693,905058,10.902493,8.754381,0.008057,682116,782725,941622,7.942047,6.225435,0.02021,4809,5049,6061,4803,4987,5800,4615,4791,5547,4628,4716,5073,4535,4723,5403,NA
MA350-0238,2022-04-12T12:01:01Z,26268,12,1,1.1,1.4,0,2022-04-12,12:01:01 PM,0,0,0,0,60,64,100,-25742,-121,-1928,3,100,99.9,55.3,44.6,36.69,17,7.64,76116,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,766667,644976,929842,19.584766,15.842422,0.01512,789184,814186,835109,15.410481,12.56961,0.020711,794226,834458,855467,13.410254,10.879836,0.020283,805941,836176,906119,10.970227,8.812452,0.022149,681855,782492,941768,7.991672,6.268635,0.033697,5857,6328,8322,6053,6576,8891,5994,6416,8233,6144,6532,8116,6267,6766,8577,NA
MA350-0238,2022-04-12T12:02:01Z,26269,12,1,1.1,1.4,0,2022-04-12,12:02:01 PM,0,0,0,0,60,64,100,-25735,-75,-1882,3,100,99.98,55.06,44.92,36.69,16.9,7.54,76116,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,766177,644622,930099,19.68023,15.926991,0.015763,788821,813894,835354,15.487281,12.638336,0.022265,793948,834219,855724,13.477747,10.940225,0.025166,804914,835141,905380,11.025807,8.860646,0.021968,681260,781848,941326,8.033615,6.305645,0.034209,5091,5528,7381,5170,5670,7891,5088,5580,7700,5063,5381,6682,5320,5754,7337,NA
MA350-0238,2022-04-12T12:03:01Z,26270,12,1,1.1,1.4,0,2022-04-12,12:03:01 PM,0,0,0,0,60,64,100,-25746,-78,-1903,3,100,99.93,55.12,44.81,36.69,16.7,7.4,76108,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,766546,644978,931130,19.742528,15.979424,0.007932,789042,814161,836008,15.535617,12.678868,0.009432,794897,835289,857099,13.521106,10.975363,-0.00122,804458,834709,905204,11.060395,8.891021,0.026271,681340,781961,941659,8.05833,6.325767,0.000907,3319,3436,3935,3250,3352,3808,3265,3255,3212,3147,3400,4436,3131,3136,3154,NA
MA350-0238,2022-04-12T12:04:01Z,26271,12,1,1.1,1.4,0,2022-04-12,12:04:01 PM,0,0,0,0,60,64,100,-25778,-67,-1932,3,100,99.93,55.3,44.63,36.69,16.6,7.29,76104,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,765928,644554,931063,19.81116,16.036354,0.006421,787797,812995,835163,15.589789,12.722734,0.001137,794947,835420,857629,13.569833,11.015016,0.003106,804779,835130,905967,11.101382,8.921691,-0.053141,681465,782184,942156,8.088085,6.348308,-0.049346,3644,3746,4176,3631,3643,3696,3657,3688,3818,3717,3447,2338,3758,3527,2686,NA
MA350-0238,2022-04-12T12:05:01Z,26272,12,1,1.1,1.4,0,2022-04-12,12:05:01 PM,0,0,0,0,60,64,100,-25748,-91,-1894,3,100,99.95,55.1,44.85,36.69,16.4,7.18,76104,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,763813,642950,929835,19.952302,16.153381,0.004463,786101,811409,834326,15.701573,12.814019,0.001098,792784,833314,856130,13.668285,11.094234,-0.004749,803757,834214,905566,11.182414,8.987276,-0.002657,680738,781459,941701,8.14835,6.393863,-0.060806,7523,7663,8258,7520,7544,7652,7417,7332,6965,7377,7335,7164,7639,7094,5108,NA
MA350-0238,2022-04-12T12:06:01Z,26273,12,1,1.1,1.4,0,2022-04-12,12:06:01 PM,0,0,0,0,60,64,100,-25760,-78,-1892,3,100,100.1,55.13,44.96,36.69,16.4,7.11,76108,37.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,761883,641506,929152,20.124648,16.297806,0.006292,784673,810085,833920,15.838018,12.929079,0.00987,790234,830787,854408,13.78561,11.192724,0.009796,801358,831866,903766,11.280986,9.069219,0.007964,679079,779645,940077,8.219825,6.452547,0.003705,9180,9433,10511,9173,9485,10872,8833,9093,10212,8968,9142,9853,9055,9116,9339,NA
MA350-0238,2022-04-12T12:07:01Z,26274,12,1,1.1,1.4,0,2022-04-12,12:07:01 PM,0,0,0,0,60,64,100,-25762,-81,-1877,3,100,99.68,55.47,44.21,36.69,16.3,7.07,76108,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,761108,640995,929399,20.260234,16.413162,0.012924,784140,809674,834252,15.945718,13.019655,0.014481,790660,831314,855621,13.881669,11.273348,0.015841,800328,830878,903265,11.359673,9.134097,0.013147,683720,785072,947069,8.278511,6.499561,0.002774,7178,7662,9725,7197,7593,9357,7189,7569,9215,7116,7361,8365,7390,7427,7563,NA
MA350-0238,2022-04-12T12:08:01Z,26275,12,1,1.1,1.4,0,2022-04-12,12:08:01 PM,0,0,0,0,60,64,100,-25750,-67,-1900,3,100,100.2,55.22,44.98,36.69,16.3,7.02,76108,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,758714,639051,927431,20.369358,16.508713,0.013896,788049,813796,839101,16.030798,13.094137,0.01805,787616,828221,852985,13.957588,11.33918,0.018311,798720,829288,902032,11.423614,9.189511,0.021535,677438,777916,938753,8.32254,6.53631,0.012324,5803,6238,8095,5711,6137,8036,5707,6075,7667,5809,6179,7704,5569,5706,6206,NA
MA350-0238,2022-04-12T12:09:01Z,26276,12,1,1.1,1.4,0,2022-04-12,12:09:01 PM,0,0,0,0,60,64,100,-25767,-86,-1902,3,100,100,55.15,44.85,36.68,16.3,7.01,76112,37.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,757809,638368,927319,20.472618,16.600075,0.015485,788415,814241,840186,16.108215,13.165108,0.025467,787089,827709,853030,14.023668,11.400032,0.02952,798797,829415,902665,11.478313,9.239197,0.03262,682229,783433,945789,8.361763,6.573099,0.049902,5499,5982,8051,5203,5864,8823,4974,5631,8488,4975,5556,7954,4968,5728,8525,NA
MA350-0238,2022-04-12T12:10:01Z,26277,12,1,1.1,1.4,0,2022-04-12,12:10:01 PM,0,0,0,0,60,64,100,-25739,-89,-1914,3,100,99.65,54.88,44.77,36.68,16.2,6.98,76116,37,DUALSPOT-UV-BLUE-GREEN-RED-IR,762578,642495,934582,20.624178,16.731037,0.011583,786571,812516,839265,16.232599,13.269208,0.007665,792253,833316,859562,14.135114,11.494077,0.011013,803932,834877,909276,11.569693,9.316623,0.014318,681555,782742,945481,8.427948,6.627899,0.007776,8110,8591,10656,8401,8619,9595,8430,8720,9984,8352,8675,10011,8423,8550,9014,NA
MA350-0238,2022-04-12T12:11:01Z,26278,12,1,1.1,1.4,0,2022-04-12,12:11:01 PM,0,0,0,0,60,72,100,-25775,-105,-1921,3,100,99.81,55.2,44.61,36.66,16.2,6.96,76116,37,DUALSPOT-UV-BLUE-GREEN-RED-IR,655255,552204,803904,20.733884,16.818878,-0.002472,786451,812459,839842,16.3214,13.34347,0.009822,793455,834679,861528,14.213579,11.557545,0.000341,802514,833512,908258,11.635832,9.369125,-0.008592,681311,782547,945585,8.476032,6.665371,-0.023657,5836,5783,5552,5963,6170,7101,5900,5906,5929,6010,5904,5464,6084,5867,5068,NA
MA350-0238,2022-04-12T12:12:01Z,26279,12,1,1.1,1.4,0,2022-04-12,12:12:01 PM,0,0,0,0,60,64,100,-25774,-107,-1911,3,100,99.98,55.13,44.85,36.6,16.2,6.89,76116,36.94,DUALSPOT-UV-BLUE-GREEN-RED-IR,760075,640643,933591,20.848168,16.915246,0.007795,784228,810288,838211,16.411592,13.418575,0.007005,791118,832331,859665,14.293769,11.624463,0.008512,802435,833532,908751,11.702516,9.423762,0.003063,680849,782086,945369,8.524914,6.704355,-0.011842,6087,6310,7268,6063,6207,6851,6037,6193,6873,6067,6111,6292,6192,6071,5624,NA
MA350-0238,2022-04-12T12:13:01Z,26280,12,1,1.1,1.4,0,2022-04-12,12:13:01 PM,0,0,0,0,60,64,100,-25740,-108,-1883,3,100,100.13,55.3,44.83,36.56,16.2,6.89,76116,36.94,DUALSPOT-UV-BLUE-GREEN-RED-IR,758134,639114,932455,20.98391,17.032028,0.011709,782786,808931,837577,16.518267,13.510571,0.015726,788634,829830,857771,14.385234,11.702861,0.016363,800394,831513,907160,11.779643,9.488675,0.013961,679435,780531,943928,8.578674,6.749309,0.015034,7208,7650,9556,7150,7606,9659,6865,7259,8979,6996,7264,8373,6790,7004,7795,NA
MA350-0238,2022-04-12T12:14:01Z,26281,12,1,1.1,1.4,0,2022-04-12,12:14:01 PM,0,0,0,0,60,64,100,-25751,-70,-1903,3,100,100.15,55.02,45.13,36.53,16.2,6.86,76116,36.94,DUALSPOT-UV-BLUE-GREEN-RED-IR,757317,638575,932721,21.114036,17.139874,0.002458,781580,807840,837213,16.620878,13.595968,0.004449,788551,829851,858459,14.47454,11.776781,0.003191,798274,829441,905482,11.854031,9.549648,-0.000345,678963,780074,943774,8.630077,6.790056,-0.021737,6946,7017,7326,6913,7013,7465,6738,6799,7064,6782,6777,6754,6525,6306,5495,NA
MA350-0238,2022-04-12T12:15:01Z,26282,12,1,1.1,1.4,0,2022-04-12,12:15:01 PM,0,0,0,0,60,64,100,-25774,-96,-1896,3,100,99.97,55.3,44.67,36.49,16.2,6.83,76116,36.88,DUALSPOT-UV-BLUE-GREEN-RED-IR,755973,637610,932357,21.255958,17.2585,0.007346,780555,806941,837030,16.736801,13.69347,0.011056,786851,828198,857475,14.577446,11.863246,0.012185,796921,828128,904669,11.939818,9.62187,0.014968,677856,778878,942799,8.691689,6.840029,0.002199,7536,7799,8931,7769,8090,9534,7724,8035,9393,7781,8110,9475,7781,7814,7933,NA
MA350-0238,2022-04-12T12:16:01Z,26283,12,1,1.1,1.4,0,2022-04-12,12:16:01 PM,0,0,0,0,60,64,100,-25753,-85,-1903,3,100,99.71,55.32,44.4,36.45,16.2,6.79,76116,36.88,DUALSPOT-UV-BLUE-GREEN-RED-IR,753414,635575,930258,21.372722,17.35394,0.004175,777609,804026,834673,16.83292,13.771797,0.004621,785043,826494,856241,14.66271,11.931802,0.000657,796173,827457,904481,12.010777,9.678403,-0.003264,677699,778808,943082,8.743179,6.881031,-0.004365,6198,6313,6806,6440,6539,6983,6398,6410,6460,6434,6387,6191,6501,6450,6262,NA
MA350-0238,2022-04-12T12:17:01Z,26284,12,1,1.1,1.4,0,2022-04-12,12:17:01 PM,0,0,0,0,60,64,100,-25775,-114,-1942,3,100,100.21,55.02,45.19,36.43,16.2,6.78,76112,36.81,DUALSPOT-UV-BLUE-GREEN-RED-IR,752503,634919,930270,21.49158,17.45464,0.006707,776196,802690,834011,16.93154,13.855337,0.008721,784335,825807,856184,14.749036,12.004792,0.009295,794126,825436,902817,12.084634,9.739845,0.005187,676839,777895,942398,8.795395,6.924848,0.010577,6343,6544,7412,6643,6852,7794,6512,6705,7547,6733,6820,7183,6628,6772,7308,NA
MA350-0238,2022-04-12T12:18:01Z,26285,12,1,1.1,1.4,0,2022-04-12,12:18:01 PM,0,0,0,0,60,64,100,-25750,-103,-1942,3,100,100.17,54.87,45.3,36.4,16.2,6.75,76124,36.81,DUALSPOT-UV-BLUE-GREEN-RED-IR,751553,634215,929984,21.591108,17.540092,0.00814,776360,802952,834800,17.01131,13.924222,0.011885,783401,824918,855800,14.822595,12.067695,0.010902,793181,824566,902256,12.144063,9.790116,0.009285,676320,777342,942060,8.839806,6.959978,-0.027714,5327,5540,6462,5389,5636,6754,5565,5764,6637,5433,5567,6123,5653,5416,4540,NA
MA350-0238,2022-04-12T12:19:01Z,26286,12,1,1.1,1.4,0,2022-04-12,12:19:01 PM,0,0,0,0,60,64,100,-25751,-103,-1911,3,100,100.1,55.32,44.78,36.37,16.2,6.73,76128,36.75,DUALSPOT-UV-BLUE-GREEN-RED-IR,750762,633625,929851,21.67966,17.616298,0.011628,774828,801419,833764,17.084452,13.988393,0.018525,782955,824498,855843,14.886346,12.124028,0.022213,799278,830937,909718,12.199431,9.837976,0.021285,675962,776959,941914,8.878967,6.993948,0.028416,4701,4998,6285,4900,5311,7169,4783,5222,7147,5020,5361,6781,4944,5298,6613,NA
MA350-0238,2022-04-12T12:20:01Z,26287,12,1,1.1,1.4,0,2022-04-12,12:20:01 PM,0,0,0,0,60,64,100,-25753,-82,-1867,3,100,100.26,55.02,45.24,36.33,16.3,6.72,76128,36.75,DUALSPOT-UV-BLUE-GREEN-RED-IR,748605,631878,928037,21.776052,17.699826,0.010247,779993,806840,839955,17.163086,14.055396,0.009705,780494,822001,853729,14.956511,12.183762,0.010688,798672,830368,909530,12.257405,9.887919,0.016124,675058,775968,941042,8.919605,7.029012,0.021155,5145,5421,6623,5297,5489,6356,5294,5480,6301,5285,5537,6587,5159,5413,6359,NA
MA350-0238,2022-04-12T12:21:01Z,26288,12,1,1.1,1.4,0,2022-04-12,12:21:01 PM,0,0,0,0,60,64,100,-25756,-105,-1902,3,100,100.28,55.26,45.02,36.3,16.3,6.69,76128,36.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,747374,630910,927004,21.830184,17.743592,-0.001913,778862,805765,839110,17.207216,14.092136,0.0063,785246,827057,859286,14.994776,12.215711,0.007922,796862,828547,907752,12.288866,9.912941,-0.011355,673899,774660,939623,8.939949,7.047273,0.036345,2876,2855,2761,2960,3025,3319,2874,2946,3261,2855,2788,2506,2571,2833,3808,NA
MA350-0238,2022-04-12T12:22:01Z,26289,12,1,1.1,1.4,0,2022-04-12,12:22:01 PM,0,0,0,0,60,64,100,-25760,-110,-1892,3,100,100.04,55.19,44.85,36.28,16.3,6.68,76132,36.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,746508,630231,926606,21.900836,17.804734,0.011786,778359,805274,839054,17.264308,14.14167,0.015799,784489,826301,858883,15.045702,12.260257,0.019442,795672,827350,906804,12.330793,9.949869,0.024582,678280,779775,946045,8.97266,7.07255,-0.033551,3759,4003,5067,3833,4093,5271,3830,4123,5413,3810,4130,5468,4139,3936,3181,NA
MA350-0238,2022-04-12T12:23:01Z,26290,12,1,1.1,1.4,0,2022-04-12,12:23:01 PM,0,0,0,0,60,64,100,-25746,-107,-1942,3,100,99.95,55.06,44.89,36.25,16.3,6.65,76124,36.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,752290,635150,934359,21.964866,17.862828,0.01716,777811,804785,838919,17.315888,14.186892,0.017011,784330,826241,859147,15.091521,12.299519,0.014345,794530,826198,905835,12.369738,9.983216,0.01674,678211,779697,946192,8.997684,7.096098,0.046904,3415,3801,5481,3472,3734,4922,3454,3631,4408,3548,3726,4474,3174,3664,5492,NA
MA350-0238,2022-04-12T12:24:01Z,26291,12,1,1.1,1.4,0,2022-04-12,12:24:01 PM,0,0,0,0,60,64,100,-25748,-129,-1933,3,100,100.06,54.95,45.11,36.22,16.3,6.63,76120,36.63,DUALSPOT-UV-BLUE-GREEN-RED-IR,750467,633676,932764,22.036978,17.924148,0.007282,775347,802272,836721,17.372152,14.234819,0.009885,782496,824334,857503,15.139662,12.341498,0.016602,794364,826053,905981,12.409919,10.017687,0.0152,677800,779251,945874,9.026093,7.118652,-0.020539,3854,3991,4591,3795,3937,4582,3637,3862,4858,3668,3832,4521,3611,3491,3046,NA
MA350-0238,2022-04-12T12:25:01Z,26292,12,1,1.1,1.4,0,2022-04-12,12:25:01 PM,0,0,0,0,60,64,100,-25745,-81,-1889,3,100,100.06,55.06,45,36.18,16.2,6.57,76124,36.63,DUALSPOT-UV-BLUE-GREEN-RED-IR,749734,633131,932471,22.100026,17.979718,0.0134,774435,801392,836176,17.424676,14.282558,0.021998,782672,824576,858130,15.185158,12.381561,0.019461,792215,823915,903913,12.447382,10.051097,0.025826,677033,778432,945072,9.051903,7.14208,0.038005,3362,3626,4777,3536,3932,5733,3430,3695,4868,3413,3724,5030,3274,3636,4991,NA
MA350-0238,2022-04-12T12:26:01Z,26293,12,1,1.1,1.4,0,2022-04-12,12:26:01 PM,0,0,0,0,60,64,100,-25755,-114,-1892,3,100,99.98,54.91,45.07,36.15,16.2,6.53,76120,36.56,DUALSPOT-UV-BLUE-GREEN-RED-IR,748670,632310,931922,22.185338,18.05243,0.007703,773710,800713,835965,17.491936,14.340624,0.012769,780367,822202,856079,15.245791,12.433654,0.013255,791038,822749,903032,12.49866,10.092499,-0.00741,676093,777374,944069,9.088013,7.170917,-0.016181,4562,4737,5503,4540,4775,5845,4583,4797,5744,4684,4607,4287,4593,4468,4004,NA
MA350-0238,2022-04-12T12:27:01Z,26294,12,1,1.1,1.4,0,2022-04-12,12:27:01 PM,0,0,0,0,60,64,100,-25778,-96,-1914,3,100,100.19,55.19,44.99,36.13,16.2,6.47,76120,36.56,DUALSPOT-UV-BLUE-GREEN-RED-IR,747210,631146,930798,22.257966,18.11303,0.005051,771600,798618,834172,17.551522,14.388987,-0.00139,780322,822250,856508,15.29903,12.476286,-0.006902,796302,828285,909415,12.542784,10.128263,-0.002401,675681,776956,943779,9.118198,7.195934,0.008053,3864,3955,4353,4001,3984,3906,4004,3933,3621,4010,3987,3892,3819,3883,4122,NA
MA350-0238,2022-04-12T12:28:01Z,26295,12,1,1.1,1.4,0,2022-04-12,12:28:01 PM,0,0,0,0,60,64,100,-25748,-92,-1907,3,100,100.13,55.28,44.85,36.1,16.2,6.45,76120,36.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,746042,630209,929980,22.328016,18.171402,0.005687,770834,797893,833816,17.607094,14.436912,0.01471,779500,821414,856016,15.347991,12.519259,0.020031,789745,821520,902318,12.584985,10.163242,0.00802,675775,777097,944192,9.145863,7.218643,0.005779,3721,3822,4262,3726,3960,5028,3676,3977,5308,3829,3912,4259,3495,3536,3690,NA
MA350-0238,2022-04-12T12:29:01Z,26296,12,1,1.1,1.4,0,2022-04-12,12:29:01 PM,0,0,0,0,60,64,100,-25762,-106,-1931,3,100,99.97,55.27,44.7,36.07,16.2,6.42,76120,36.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,743452,628100,927342,22.393462,18.230312,0.016864,775439,802672,839226,17.660156,14.482566,0.014799,775740,817529,852268,15.394696,12.558424,0.010776,793285,825230,906713,12.62205,10.19492,0.018001,673435,774409,941140,9.171326,7.241213,0.034101,3477,3870,5588,3558,3785,4818,3508,3636,4205,3364,3554,4353,3218,3526,4682,NA
MA350-0238,2022-04-12T12:30:01Z,26297,12,1,1.1,1.4,0,2022-04-12,12:30:01 PM,0,0,0,0,60,64,100,-25750,-67,-1860,3,100,99.68,54.81,44.87,36.03,16.2,6.4,76120,36.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,744307,628869,929014,22.457646,18.286648,0.012436,776270,803597,840575,17.71074,14.527593,0.018438,775887,817711,852810,15.438815,12.59835,0.023568,793010,825000,906700,12.659061,10.228833,0.030245,673723,774778,941805,9.197323,7.26448,0.033378,3439,3686,4772,3421,3719,5079,3341,3693,5253,3387,3791,5489,3313,3621,4780,NA
MA350-0238,2022-04-12T12:31:01Z,26298,12,1,1.1,1.4,0,2022-04-12,12:31:01 PM,0,0,0,0,60,64,100,-25734,-94,-1897,3,100,100.01,55.23,44.78,36,16.1,6.36,76128,36.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,743167,627968,928346,22.537798,18.354542,0.008633,774723,802086,839419,17.775752,14.582533,0.010744,775437,817318,852830,15.496822,12.647022,0.010319,792515,824523,906602,12.707227,10.268959,0.009896,673538,774615,941893,9.232517,7.293539,0.008741,4262,4453,5291,4363,4548,5393,4359,4512,5189,4374,4495,5003,4450,4532,4841,NA
MA350-0238,2022-04-12T12:32:01Z,26299,12,1,1.1,1.4,0,2022-04-12,12:32:01 PM,0,0,0,0,60,64,100,-25740,-118,-1907,3,100,100.32,55.12,45.2,35.97,16.1,6.33,76132,36.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,747141,631423,934085,22.62223,18.42389,0.000371,772954,800361,838094,17.844192,14.639537,0.004494,780996,823246,859465,15.558118,12.69776,0.003124,791444,823527,905829,12.7585,10.309611,-0.016369,672863,773874,941259,9.269051,7.321518,-0.049514,4498,4505,4536,4602,4674,5003,4616,4659,4852,4666,4511,3860,4629,4323,3173,NA
MA350-0238,2022-04-12T12:33:01Z,26300,12,1,1.1,1.4,0,2022-04-12,12:33:01 PM,0,0,0,0,60,64,100,-25764,-85,-1928,3,100,100.33,54.95,45.39,35.94,16.1,6.31,76132,36.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,746358,630845,933830,22.70001,18.488048,-0.000327,771983,799420,837546,17.90444,14.690354,0.005883,781475,823844,860473,15.612271,12.742572,0.000619,789600,821664,904130,12.804381,10.347551,0.000442,672124,773082,940531,9.301289,7.346533,-0.043581,4157,4151,4126,4064,4150,4542,4091,4098,4131,4188,4193,4212,4098,3849,2916,NA
MA350-0238,2022-04-12T12:34:01Z,26301,12,1,1.1,1.4,0,2022-04-12,12:34:01 PM,0,0,0,0,60,64,100,-25757,-128,-1896,3,100,99.97,55.05,44.92,35.89,16.1,6.27,76132,36.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,745628,630275,933586,22.768866,18.548096,0.011901,771205,798681,837167,17.962382,14.739836,0.011503,778810,821080,857925,15.662198,12.786333,0.018398,788762,820822,903532,12.846281,10.384617,0.023778,675891,777480,946136,9.330032,7.371855,0.02952,3673,3926,5038,3901,4083,4917,3764,4044,5288,3817,4139,5496,3646,3937,5033,NA
MA350-0238,2022-04-12T12:35:01Z,26302,12,1,1.1,1.4,0,2022-04-12,12:35:01 PM,0,0,0,0,60,64,100,-25753,-96,-1914,3,100,99.95,55.13,44.81,35.88,16.1,6.26,76132,36.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,744773,629618,933227,22.844086,18.61258,0.009987,769980,797466,836354,18.022974,14.793442,0.018344,778701,821012,858277,15.71583,12.831682,0.011471,788504,820602,903658,12.890396,10.421719,0.011918,671205,772093,939814,9.362144,7.398477,0.009316,4006,4226,5190,4073,4434,6085,4038,4201,4926,4013,4153,4742,4068,4149,4456,NA
